"Section","QueryId","SchemaName","TableName","ColumnName","OrdinalPosition","DataType","MaxLength","NumericPrecision","NumericScale","DateTimePrecision","Nullable","ObjectType","ApproxRowCount","ConstraintName","ConstraintType","KeyOrdinal","ReferencedSchema","ReferencedTable","ReferencedColumn","IndexName","IsUnique","IsPrimaryKey","Finding","Error"
"MemberTypeUsage","F06","","MemberType","MemberTypeId","","VM","","","","","","","0","","","","","","30","","","","Id=300; Description=Visiting Member; Pending=False; Inactive=False",""
"MemberTypeUsage","F06","","MemberType","MemberTypeId","","G","","","","","","","0","","","","","","60","","","","Id=310; Description=Guest; Pending=False; Inactive=False",""
"MemberTypeUsage","F06","","MemberType","MemberTypeId","","PR","","","","","","","108","","","","","","190","","","","Id=311; Description=Prospect; Pending=True; Inactive=False",""
"MemberTypeUsage","F06","","MemberType","MemberTypeId","","HB","","","","","","","0","","","","","","100","","","","Id=415; Description=Homebound; Pending=False; Inactive=False",""
"MemberTypeUsage","F06","","MemberType","MemberTypeId","","IM","","","","","","","0","","","","","","70","","","","Id=500; Description=In-Service Member; Pending=False; Inactive=False",""
"MemberTypeUsage","F06","","MemberType","MemberTypeId","","VI","","","","","","","0","","","","","","20","","","","Id=700; Description=VIP; Pending=False; Inactive=False",""
"MemberTypeUsage","F06","","MemberType","MemberTypeId","","VL","","","","","","","36","","","","","","20","","","","Id=710; Description=Volunteer; Pending=False; Inactive=False",""
"DivOrgFanout","F07","","DivOrg","DivId","","","","","","","","","61","","","","","","","","","","DivisionLinkCount=0",""
"DivOrgFanout","F07","","DivOrg","DivId","","","","","","","","","2918","","","","","","","","","","DivisionLinkCount=1",""
"DivOrgFanout","F07","","DivOrg","DivId","","","","","","","","","577","","","","","","","","","","DivisionLinkCount=2",""
"DivOrgFanout","F07","","DivOrg","DivId","","","","","","","","","87","","","","","","","","","","DivisionLinkCount=3",""
"DivOrgFanout","F07","","DivOrg","DivId","","","","","","","","","3","","","","","","","","","","DivisionLinkCount=4",""
"OrgScheduleDayUsage","F08","","OrgSchedule","SchedDay","","","","","","","","","255","","","","","","","","","","SchedDay=0; OrganizationCount=229; EarliestSchedTime=1/20/2012 9:30:00 AM; LatestSchedTime=8/11/2026 1:00:00 PM",""
"OrgScheduleDayUsage","F08","","OrgSchedule","SchedDay","","","","","","","","","16","","","","","","","","","","SchedDay=1; OrganizationCount=16; EarliestSchedTime=12/6/2023 6:00:00 PM; LatestSchedTime=7/21/2026 8:30:00 AM",""
"OrgScheduleDayUsage","F08","","OrgSchedule","SchedDay","","","","","","","","","33","","","","","","","","","","SchedDay=2; OrganizationCount=33; EarliestSchedTime=10/24/2023 7:00:00 PM; LatestSchedTime=7/21/2026 12:30:00 PM",""
"OrgScheduleDayUsage","F08","","OrgSchedule","SchedDay","","","","","","","","","54","","","","","","","","","","SchedDay=3; OrganizationCount=54; EarliestSchedTime=8/25/2021 12:00:00 PM; LatestSchedTime=7/21/2026 8:30:00 AM",""
"OrgScheduleDayUsage","F08","","OrgSchedule","SchedDay","","","","","","","","","35","","","","","","","","","","SchedDay=4; OrganizationCount=35; EarliestSchedTime=12/14/2023 6:30:00 PM; LatestSchedTime=8/11/2026 7:00:00 AM",""
"OrgScheduleDayUsage","F08","","OrgSchedule","SchedDay","","","","","","","","","7","","","","","","","","","","SchedDay=5; OrganizationCount=7; EarliestSchedTime=6/12/2024 6:00:00 AM; LatestSchedTime=7/21/2026 8:30:00 AM",""
"OrgScheduleDayUsage","F08","","OrgSchedule","SchedDay","","","","","","","","","25","","","","","","","","","","SchedDay=6; OrganizationCount=24; EarliestSchedTime=11/1/2023 5:30:00 PM; LatestSchedTime=6/29/2026 9:00:00 AM",""
"OrgScheduleDayUsage","F08","","OrgSchedule","SchedDay","","","","","","","","","6","","","","","","","","","","SchedDay=10; OrganizationCount=6; EarliestSchedTime=5/27/2024 3:45:00 PM; LatestSchedTime=5/14/2025 4:45:00 PM",""
"MeetingColumnPopulation","F09","","Meetings","visitor aggregate columns","","","","","","","","","78126","","","","","","","","","","NumPresent=78126; NumVstMembers=78126; NumRepeatVst=78126; NumNewVisit=78126; Earliest=3/12/2013 5:30:00 PM; Latest=8/11/2027 12:00:00 PM",""
"TaskNoteKeyProfile","F10","","TaskNote","TaskNoteId","","","","","","","","","112877","","","","","","","","","","NonNullCount=112877; DistinctCount=112877; Minimum=2; Maximum=115599",""
